nx,ny
60,127
61,127
60,126
59,126
61,126
62,126
62,127
62,128
60,128
61,128
61,129
62,129
59,127
59,128
58,127
58,126
57,126
58,125
57,127
57,125
59,124
59,125
58,124
60,125
61,125
61,124
62,125
63,125
63,126
63,127
98,76
97,74
97,73
98,75
97,75
98,74
98,73
97,76
98,77
99,74
96,76
97,77
99,75
99,76
100,75
100,76
99,77
96,74
96,73
98,78
95,76
95,74
94,74
93,73
96,75
100,77
101,79
100,79
101,78
99,78
89,90
90,91
89,91
91,90
91,91
90,92
88,90
88,91
89,92
88,92
90,90
89,89
90,89
87,90
88,89
87,89
86,88
86,90
87,87
86,87
86,91
86,86
88,99
88,98
86,99
88,97
90,95
90,98
91,97
90,96
92,96
55,124
54,125
53,124
54,124
52,125
53,125
51,125
50,124
55,123
54,123
56,124
56,123
55,125
56,125
55,126
56,126
56,127
55,127
54,126
54,127
55,128
51,130
51,131
51,129
51,128
50,128
50,129
50,130
50,131
50,132
48,131
49,130
47,128
50,126
21,136
21,132
46,119
51,120
48,120
38,129
58,74
60,74
59,74
60,73
58,73
58,75
59,73
59,75
60,75
59,76
57,74
57,75
58,76
56,76
57,73
55,74
56,75
67,100
68,100
69,100
68,101
69,99
68,99
67,99
67,101
66,99
67,98
66,100
66,101
67,102
68,103
68,102
102,84
101,84
102,85
102,83
104,83
104,84
103,85
102,86
104,85
103,84
103,83
102,81
98,84
101,81
100,84
102,80
100,82
100,86
99,86
98,85
99,83
66,103
66,106
65,105
66,105
67,104
65,103
64,104
65,106
64,108
65,107
63,108
65,104
66,104
60,120
60,121
61,121
61,120
59,120
62,120
63,124
62,124
63,123
62,123
63,122
62,122
61,130
61,131
62,130
62,131
59,123
58,123
60,123
60,122
62,114
61,114
59,114
58,114
59,115
62,117
61,117
61,115
60,115
61,116
62,115
63,114
61,134
61,135
58,121
57,121
58,122
59,121
57,122
53,120
57,128
57,129
58,129
58,128
59,130
56,129
56,128
57,130
56,130
55,129
60,124
63,128
64,128
64,127
63,130
65,129
63,129
64,130
66,130
65,126
64,129
62,118
61,118
57,123
57,124
56,122
59,122
64,126
64,119
64,120
64,122
64,117
63,117
66,118
67,118
65,120
63,120
62,121
63,121
56,131
56,133
57,132
58,133
55,132
58,131
57,134
59,135
55,133
68,121
71,117
69,121
67,121
69,122
68,119
66,120
69,119
69,118
69,117
70,117
65,115
66,114
65,113
64,114
64,115
64,116
63,115
69,116
68,116
67,116
65,116
65,114
53,129
54,129
53,128
53,130
54,130
54,128
57,119
59,119
57,116
59,117
58,119
56,119
55,118
59,118
59,116
60,118
61,119
60,119
62,119
65,123
66,122
66,121
66,125
65,125
64,124
65,124
64,123
60,132
61,133
60,134
62,132
61,132
64,134
63,132
64,131
63,133
64,135
63,136
64,136
66,135
66,137
65,138
64,140
65,134
71,121
70,119
72,119
70,122
69,123
70,121
70,123
72,122
73,120
68,123
61,138
61,137
60,138
61,136
59,137
60,137
62,140
60,139
58,136
69,133
69,132
69,129
67,131
66,132
70,134
69,125
67,125
66,126
68,126
66,128
72,126
72,127
73,124
71,125
70,125
70,124
73,134
73,135
74,131
72,132
70,130
72,134
71,137
75,136
73,133
71,132
72,133
76,122
74,121
78,124
76,124
75,122
73,119
76,118
76,121
78,121
79,120
77,122
76,123
77,123
92,131
91,134
92,130
94,131
95,129
92,133
92,134
93,132
92,132
93,131
97,127
97,126
96,127
96,126
95,119
94,118
95,117
96,118
87,141
87,140
98,125
96,120
101,119
99,124
94,123
98,123
97,124
98,119
96,123
97,125
75,130
77,131
78,134
79,132
81,130
76,129
73,128
72,129
84,132
77,125
79,125
80,124
81,126
79,127
80,127
77,126
75,125
80,123
86,119
92,118
89,118
87,118
85,120
85,119
83,120
82,121
84,123
86,122
84,124
85,126
84,128
85,128
87,129
89,130
89,123
92,120
89,120
90,121
89,125
92,126
91,123
90,125
65,139
64,141
67,142
67,140
68,141
67,143
69,143
73,143
71,143
75,143
72,139
74,137
71,138
71,140
69,138
